      2 ?        S      0:00 [kthreadd]
 242572 ?        Sl     0:44  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 441 -isForBrowser -prefsLen 31915 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {442ea178-a9b3-4c94-b0c1-3a3ffc3bdd93} 2334 true tab
 244001 ?        Sl     0:36  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 447 -isForBrowser -prefsLen 31915 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {f6b2f13a-db85-4c36-95a7-28d6de9c0098} 2334 true tab
 249128 ?        Sl     1:21  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 463 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {e12d2d36-ff52-4f11-925f-75d70808482a} 2334 true tab
 259809 ?        Sl     3:32  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 468 -isForBrowser -prefsLen 31915 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {4dfefcc2-99a5-4e51-9063-d6c07175593f} 2334 true tab
 269306 ?        Sl     0:50  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 484 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {2228b3b8-9256-487e-bde3-caf274b1aef5} 2334 true tab
 269356 ?        Sl     0:07  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 485 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {8ddc3112-33ba-439f-8108-714ae6ec44c5} 2334 true tab
 272729 ?        Sl     0:02  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 490 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {f98fd64b-7bed-4b07-9325-ff238145b1ea} 2334 true tab
 273406 ?        Sl     0:10  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 494 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {60551d36-e11e-4440-990a-a15909c2f768} 2334 true tab
 279972 ?        Sl     0:05  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 503 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {11cf4f1a-75eb-4d97-8666-821638451e75} 2334 true tab
 280585 ?        Sl     0:00  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 508 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {ff784b5c-afaa-4a10-b396-225c7d4ba80e} 2334 true tab
 280638 ?        Sl     0:00  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 509 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {9ae62ec5-1e05-4efe-a131-0619af2d4c71} 2334 true tab
 280660 ?        Sl     0:00  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 510 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {e8f23666-98d6-49ee-bcf5-7c9313cc79f6} 2334 true tab
  22877 ?        Sl     6:09  |   \_ /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.GX3TO2 -listen 4 -listen 5 -displayfd 6 -initfd 7
  26328 ?        Sl     4:38  |   \_ /usr/share/code/code
  26333 ?        S      0:00  |   |   \_ /usr/share/code/code --type=zygote --no-zygote-sandbox
